benchmark-T 	 ,sb 	 ,bb 	 ,lrp
linkedlist-8   	,1.26341348569 	,1.24475181525 	,1.05274767883 	
hashmap-8   	,1.77702032586 	,1.58453823203 	,1.06910553969 	
bstree-8   	,1.84427641309 	,1.69567108903 	,1.11332719145 	
skiplist-8   	,1.55603360736 	,1.59244333739 	,1.04603114173 	
lfqueue-8   	,1.50323875495 	,1.42035948969 	,1.09118901438 	
