Benchmark  	 ,bb 	 ,lrp 
linkedlist  	,37.8589448184	,4.18921898129	
hashmap  	,64.3649580769	,11.6545187318	
bstree  	,96.024022817	,53.4991520633	
skiplist  	,86.4750293012	,22.4557680727	
lfqueue  	,43.5222877505	,0.152251823263	
