   benchmark-T 	            sb 	            bb 	           lrp 	
  linkedlist-1 	 1.27319416601 	 1.24208702354 	 1.08569930963 	
     hashmap-1 	  2.4394618303 	  2.3717717905 	 1.21280884967 	
      bstree-1 	 2.02440419204 	  2.0013845568 	 1.16838746793 	
    skiplist-1 	 1.91010283717 	 1.93972892193 	 1.26380630285 	
    lfqueue2-1 	  4.2873787085 	 3.92841641714 	 1.15232547747 	
