     Benchmark 	            bb 	           lrp 	
    linkedlist 	 38.9428263215 	 4.55395202659 	
       hashmap 	 62.9436430728 	 11.7196993564 	
        bstree 	 96.0077142433 	 53.8046754093 	
      skiplist 	 65.7290991575 	 8.85993626569 	
       lfqueue 	 43.2415533563 	0.136997949755 	
