Benchmark  	 ,bb 	 ,lrp 
linkedlist  	,37.3830253839	,6.04222912625	
hashmap  	,63.7009456977	,20.5710496871	
bstree  	,95.7084351859	,55.8940386741	
skiplist  	,65.935639971	,22.27945005	
lfqueue2  	,35.4004418317	,0.965636211247	
