     Benchmark 	            bb 	           lrp 	
    linkedlist 	 38.1622083983 	 4.16183411873 	
       hashmap 	 64.2495505862 	 11.2507857541 	
        bstree 	 95.8499825191 	 53.3318647368 	
      skiplist 	 86.5508952317 	  22.868487934 	
       lfqueue 	 43.3328233359 	0.136163883291 	
