   benchmark-T 	            sb 	            bb 	           lrp 	
 linkedlist-16 	 1.25948336422 	 1.21634527827 	 1.05164272541 	
    hashmap-16 	 1.58006538145 	 1.42623287579 	 1.05102548233 	
     bstree-16 	 1.65134846811 	 1.55037239302 	 1.07680434963 	
   skiplist-16 	 1.84460761257 	 1.79224358881 	 1.14095913575 	
   lfqueue2-16 	   2.222209543 	  2.0004403966 	 1.23031855498 	
