   benchmark-T 	            sb 	            bb 	           lrp 	
 linkedlist-32 	 1.28007490523 	 1.23338069567 	 1.04479184138 	
    hashmap-32 	 1.56366907202 	 1.40568045266 	 1.04557744778 	
     bstree-32 	 1.64753523793 	 1.39510896744 	 1.04984024442 	
   skiplist-32 	 1.78282692958 	 1.75150603361 	 1.09905849902 	
   lfqueue2-32 	 1.88570923901 	 1.67374032937 	 1.12092361054 	
