Benchmark  	 ,bb 	 ,lrp 
linkedlist  	,38.4654719781	,4.13444925618	
hashmap  	,64.1341430956	,10.8470527764	
bstree  	,95.6759422212	,53.1645774102	
skiplist  	,86.6267611621	,23.2812077953	
lfqueue  	,43.1433589213	,0.120075943319	
