benchmark-T 	 ,sb 	 ,bb 	 ,lrp
linkedlist-8   	,1.27265118044 	,1.23847713608 	,1.06704715316 	
hashmap-8   	,1.78717613938 	,1.58154977422 	,1.06189208371 	
bstree-8   	,1.85701117192 	,1.53639802387 	,1.10648879671 	
skiplist-8   	,1.58664101145 	,1.61509664747 	,1.04382888305 	
lfqueue-8   	,1.50918796702 	,1.41998704668 	,1.09415705361 	
