Benchmark  	 ,bb 	 ,lrp 
linkedlist  	,36.0707041913	,5.88561996397	
hashmap  	,60.3520840102	,15.8707925832	
bstree  	,94.5703541481	,38.989350405	
skiplist  	,69.6044666661	,22.8986532095	
lfqueue2  	,37.9654117329	,1.0991200035	
